price,sqft,bedroom,bathroom,balcony,age,ownership,flooring,furnishing,facing,parking,gated_security,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor
6800000.0,1080,2,2,1,3,1,1,2,2,2,1,Bellandur,0,0,1,1,0,1,1,1,0,1,1,0,0,1
24000000.0,1800,3,3,5,2,1,1,2,2,2,1,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6000000.0,1156,2,2,2,3,1,3,2,1,2,1,Bellandur,0,1,0,0,0,0,0,1,0,1,0,0,1,1
7200000.0,964,2,2,1,4,1,1,2,3,2,1,Bellandur,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9900000.0,1340,2,2,2,3,1,1,2,1,1,1,Bellandur,1,0,0,0,1,0,1,1,0,1,1,0,0,0
8100000.0,1170,2,2,3,3,1,0,3,1,2,1,Bellandur,0,0,0,0,0,0,0,1,0,1,0,0,0,1
7500000.0,1136,2,2,2,4,1,1,2,2,1,1,Bellandur,1,1,1,0,1,0,1,1,0,1,0,0,0,1
20000000.0,1959,3,3,2,2,1,0,3,2,1,1,Bellandur,1,1,1,0,1,1,0,1,1,1,1,0,1,1
16000000.0,1212,3,2,2,0,1,1,1,2,2,1,Bellandur,1,1,1,0,1,0,0,1,0,1,0,0,1,1
11600000.0,1433,2,2,2,0,1,1,1,4,2,1,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15500000.0,1433,3,3,3,0,1,1,1,4,2,1,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12500000.0,1680,3,3,2,4,1,3,2,3,1,1,Beninganahalli,1,0,0,0,0,1,1,1,0,1,0,0,0,1
6000000.0,928,2,2,0,4,1,1,2,1,2,0,Beninganahalli,1,0,1,0,0,0,1,1,0,0,0,0,0,1
7550000.0,1090,2,2,2,4,1,1,3,1,2,1,Beninganahalli,1,0,0,0,0,0,1,1,0,1,0,0,0,0
6500000.0,1053,2,2,2,4,1,1,2,1,2,0,Beninganahalli,0,0,0,0,0,1,0,1,0,0,0,0,0,1
15000000.0,1300,2,2,2,1,1,3,3,1,2,1,Beninganahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500000.0,1176,2,2,0,3,1,0,2,1,2,0,Beninganahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000000.0,1190,2,2,0,3,1,0,3,1,2,1,Beninganahalli,1,0,0,0,0,0,0,0,1,1,0,0,0,1
5800000.0,985,2,2,2,4,1,1,2,3,2,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8500000.0,1040,2,2,2,4,1,1,3,4,1,1,Beninganahalli,1,0,1,0,0,1,1,1,1,1,1,0,0,1
9300000.0,2150,3,3,0,4,1,0,1,4,2,0,Beninganahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17500000.0,2100,3,3,3,3,1,0,3,2,2,1,Beninganahalli,0,1,1,0,1,1,0,1,0,1,0,0,1,1
5300000.0,660,1,1,1,4,1,2,2,4,0,1,Beninganahalli,1,0,1,0,0,0,0,0,1,1,0,0,0,0
10000000.0,1500,3,2,2,4,1,1,2,4,1,0,Beninganahalli,1,0,1,0,0,1,1,1,0,1,0,0,0,1
